,Volume,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DTB4WK,DTB3,DTB6,DGS5,DGS10,Oil,Gold,DAAA,DBAA,GBP,JPY,CAD,CNY,AAPL,AMZN,GE,JNJ,JPM,MSFT,WFC,XOM,FCHI,FTSE,GDAXI,GSPC,HSI,DJI,SSEC,RUT,NYSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6,CTB3M,CTB6M,CTB1Y,AUD,Brent,CAC-F,copper-F,WIT-oil,DAX-F,DJI-F,EUR,FTSE-F,gold-F,HSI-F,KOSPI-F,NASDAQ-F,GAS-F,Nikkei-F,NZD,silver-F,RUSSELL-F,S&P-F,CHF,Dollar index-F,Dollar index,wheat-F,XAG,XAU
0,2369.05,5293.316,4822.9854,5113.1206,4470.236,5200.112,4461.662,4601.8115,4709.2534,5030.072,5475.2754,4485.6655,4680.348,2759.9966,2434.9128,2384.805,4747.186,4514.8228,6393.413,6621.6875,5869.7017,5686.3447,4929.903,4035.1372,4597.7417,4325.0073,5178.99,3835.254,3673.4697,3557.9187,4560.3594,4816.699,4671.109,4370.6245,3882.2988,3970.1545,4791.0884,4578.2964,4310.8735,4685.766,5207.7417,4813.17,5688.6484,5137.658,4727.591,4217.3047,5344.077,4394.8735,4905.065,5411.371,6150.3325,5779.3755,6144.7334,4027.7192,5976.7905,5814.7944,4445.894,3972.3145,3973.4856,4076.5754,3836.1233,4553.9688,4628.8486,4428.0835,3613.057,3948.9927,4081.0093,3967.582,4256.289,3989.1562,4326.2544,5245.9023,4371.8574,4371.8076,4678.2256,4975.818,4949.388,4675.3994,4144.871,5279.068,5110.016
1,2098.3293,5224.6772,5658.291,5282.6353,4928.799,5782.6064,4544.9536,4499.0806,5164.076,4631.1426,5208.0566,4451.558,3958.4312,2125.0837,2130.1816,2114.3293,4613.164,5072.023,6699.675,6788.33,6566.79,6506.4375,5114.693,3469.6018,4751.009,4170.4106,4772.288,4181.1025,3499.065,3602.1567,5231.7866,3991.7349,4056.1047,4052.21,3493.3708,3824.2517,4531.0063,5095.9487,4558.2656,5448.243,5645.759,4890.6694,6466.1265,5655.5566,4792.258,4855.9707,5526.474,4284.013,5607.3926,5936.5425,6451.617,6598.735,6710.8267,3575.9204,6665.0186,6716.5415,3455.2148,4712.0996,3429.5837,4988.516,3045.2983,4674.037,4861.794,3736.3708,3329.581,3796.8047,4782.013,3715.4368,3989.7986,3963.0154,4490.6143,5254.2847,4567.4697,4072.2395,4663.238,6103.2095,4950.8867,4745.215,4071.2773,5607.6816,5274.21
2,2359.3582,5284.609,4848.259,5094.009,4459.711,5199.769,4486.541,4547.123,4708.0747,5066.641,5532.915,4577.3423,4728.486,2785.368,2450.7144,2401.4297,4762.7646,4507.99,6395.357,6630.273,5853.432,5663.892,4906.9106,4004.1348,4587.0273,4334.272,5135.586,3865.1118,3685.1748,3556.1565,4606.0225,4769.174,4661.2163,4363.1035,3893.587,3927.9678,4813.885,4640.794,4333.088,4668.7334,5207.661,4791.7285,5676.5215,5085.736,4724.935,4208.9814,5316.3853,4414.047,4916.676,5414.678,6144.7056,5781.688,6143.987,4021.9246,6001.835,5862.1426,4424.123,3993.2148,3988.1848,4133.7773,3816.3953,4570.7764,4644.5215,4398.471,3648.011,3969.5444,4142.532,3964.5764,4254.091,3993.9458,4370.21,5233.157,4344.403,4384.361,4667.0854,4997.0938,4902.347,4662.461,4119.2793,5251.0396,5122.696
3,2134.1025,5260.261,5295.308,5140.373,4662.5874,5542.204,4581.9375,4460.2583,4919.5137,4890.9473,5465.1104,4602.2095,4379.929,2258.947,2226.1262,2181.3245,4691.1426,4788.5967,6584.9263,6778.299,6288.906,6177.24,4996.0386,3704.3987,4640.299,4268.958,4881.16,4071.6975,3577.6968,3540.929,4988.7383,4324.471,4305.018,4233.9126,3677.6724,3862.4768,4718.388,4906.291,4449.4453,5112.5703,5439.845,4791.0264,6132.721,5310.4536,4777.1465,4539.539,5402.5386,4376.183,5321.9683,5707.734,6308.5796,6342.279,6539.848,3798.5383,6469.4604,6523.9067,3903.306,4331.896,3677.991,4645.186,3356.6467,4673.6274,4841.446,4018.0461,3448.2454,3845.0732,4524.5737,3818.1948,4101.1016,3992.0203,4483.0796,5191.4863,4363.359,4250.0347,4680.453,5656.191,4874.029,4700.8555,4049.7864,5352.321,5210.24
4,2106.073,5253.0376,5517.3184,5223.3755,4844.3755,5686.977,4569.895,4507.92,5088.642,4718.576,5250.7095,4493.389,4105.014,2157.153,2155.4688,2131.375,4657.5947,4931.318,6661.0215,6786.7,6472.8115,6404.8564,5098.6426,3574.736,4719.4146,4223.5723,4800.9043,4101.407,3531.517,3584.3713,5111.7217,4143.866,4172.0273,4126.1504,3586.5452,3877.56,4603.686,4995.478,4514.8647,5321.656,5559.8423,4832.0786,6366.877,5523.7007,4782.9507,4675.244,5476.0146,4318.48,5501.438,5836.9727,6403.7554,6509.915,6664.7188,3664.227,6596.677,6662.167,3638.107,4572.524,3510.1829,4829.199,3196.48,4664.5347,4859.981,3894.5505,3355.5012,3828.8801,4638.9526,3748.1492,4014.619,3942.0566,4482.6504,5247.12,4513.4497,4133.529,4632.8223,5938.5073,4957.8633,4748.961,4058.0256,5525.6724,5253.8696
5,2096.4158,5216.329,5719.403,5339.9185,4965.6978,5821.707,4531.893,4527.9053,5214.7505,4569.702,5109.932,4375.1323,3849.9958,2115.18,2121.4163,2108.964,4581.4404,5099.487,6710.802,6788.63,6601.577,6551.523,5158.0376,3439.0366,4767.18,4178.819,4760.114,4179.2427,3488.9668,3619.8965,5256.236,3928.8467,4000.0688,3994.6204,3468.1777,3843.653,4477.0166,5107.9766,4566.5244,5508.661,5678.7305,4926.109,6512.8037,5734.583,4787.319,4892.1006,5552.27,4273.6567,5652.717,5957.4585,6484.9194,6625.8105,6726.843,3527.0583,6681.9585,6732.3496,3388.0996,4812.4995,3371.318,5037.533,3016.296,4658.185,4869.0635,3711.494,3298.8591,3802.089,4789.109,3687.0854,3974.604,3950.7212,4465.091,5265.646,4622.624,4024.0413,4641.644,6167.015,4987.899,4764.369,4104.0527,5671.0845,5293.2124
6,2372.9578,5291.1646,4823.9443,5104.9683,4471.031,5201.544,4495.8955,4600.3047,4716.245,5049.668,5506.192,4530.512,4716.886,2789.3975,2457.0051,2410.9714,4749.196,4498.046,6382.1826,6617.7373,5851.1533,5665.8286,4907.4194,4029.401,4583.703,4311.0527,5146.2197,3834.4075,3676.3943,3559.7913,4558.8013,4802.751,4666.729,4379.059,3881.7917,3965.868,4801.4844,4589.934,4309.4873,4671.641,5204.557,4797.7437,5674.0435,5096.9165,4716.6353,4190.228,5333.668,4411.6543,4898.098,5401.242,6137.6763,5759.046,6123.9644,4031.0642,5970.0117,5819.517,4443.302,3987.0596,3974.7913,4118.557,3834.7754,4558.001,4629.2944,4445.387,3624.8442,3955.1904,4091.1885,3966.2166,4262.222,3986.3884,4344.42,5231.862,4365.8413,4384.6416,4670.842,4972.157,4921.153,4670.424,4139.994,5276.6953,5125.633
7,2379.1328,5274.9487,4829.139,5124.7974,4459.8755,5185.7573,4463.381,4575.657,4695.7217,5034.856,5478.5703,4486.629,4681.467,2772.9148,2440.0674,2384.1658,4734.352,4511.368,6389.3164,6615.4844,5853.066,5662.069,4905.3755,4020.6367,4600.6274,4337.803,5163.3325,3840.9124,3679.382,3565.8403,4549.98,4781.3345,4685.658,4348.8545,3879.9697,3958.4417,4774.309,4589.1396,4311.8154,4663.587,5199.0483,4814.0117,5655.966,5129.719,4728.401,4231.281,5332.52,4387.6235,4904.248,5400.198,6129.734,5780.686,6139.6577,4041.2847,5962.38,5801.889,4449.964,3963.976,3974.2607,4095.2957,3837.7385,4548.157,4621.7896,4413.128,3624.0334,3951.5283,4079.7502,3951.7524,4264.7124,3995.936,4349.159,5229.9917,4358.19,4385.2085,4669.8403,4965.4585,4943.945,4644.6333,4119.36,5257.832,5099.476
8,2124.3064,5257.1953,5350.8613,5170.1426,4722.4097,5585.7397,4592.348,4493.6226,4969.0537,4831.8115,5381.865,4559.788,4287.2505,2222.9824,2203.7139,2165.5178,4684.1025,4824.7954,6605.5005,6781.652,6345.4785,6246.9717,5034.895,3682.5903,4668.5073,4250.963,4855.606,4058.6213,3561.599,3555.871,5012.2476,4288.741,4273.766,4212.2817,3661.7197,3876.7864,4691.021,4906.926,4457.164,5179.196,5461.0146,4798.5645,6206.3325,5372.111,4781.401,4559.3706,5416.9014,4359.429,5375.12,5736.17,6336.8926,6390.7793,6580.2944,3771.6897,6504.1025,6567.616,3841.716,4401.495,3624.9429,4686.4136,3322.1848,4662.77,4848.652,4006.6296,3422.6663,3842.5154,4539.566,3805.3257,4080.2214,3968.0408,4478.4688,5210.8364,4414.438,4213.415,4656.3184,5732.794,4902.987,4717.541,4056.505,5418.4824,5226.4297
9,2123.4434,5262.4404,5350.5127,5158.0425,4727.4575,5588.227,4583.3457,4494.6924,4979.824,4837.7104,5421.9976,4607.0327,4333.06,2224.347,2206.05,2169.3713,4680.0728,4823.9463,6606.622,6781.5776,6345.083,6239.023,5026.49,3675.8958,4633.682,4225.645,4861.4336,4075.8506,3569.7322,3566.0664,5026.7236,4285.28,4254.085,4219.5684,3661.082,3857.237,4683.3965,4923.744,4464.4946,5172.4688,5465.804,4795.6807,6204.5796,5362.9424,4768.331,4558.7495,5410.8726,4373.965,5358.641,5736.9443,6337.45,6392.672,6577.5806,3770.9514,6509.7607,6568.839,3840.5745,4417.4785,3642.9243,4696.9917,3312.807,4654.749,4849.434,3995.9534,3450.5308,3854.3923,4574.789,3814.9536,4090.63,3971.7732,4468.785,5188.0156,4400.9014,4232.265,4670.817,5728.6445,4888.2637,4716.985,4064.7249,5417.364,5228.9956
10,2270.3315,5278.983,4959.379,5095.3276,4529.465,5330.6323,4557.747,4561.0986,4766.4834,4963.1323,5459.0938,4517.1963,4566.842,2574.6685,2391.379,2322.2297,4728.8438,4586.169,6432.0767,6703.3823,5967.8257,5801.3237,4939.201,3938.4644,4597.882,4314.433,5066.3467,3887.511,3656.8298,3556.0422,4714.293,4662.9287,4541.821,4374.011,3844.005,3952.3113,4785.032,4623.1616,4308.431,4840.1963,5227.843,4757.55,5772.2163,5156.562,4776.2656,4330.0273,5311.527,4415.159,5087.317,5492.267,6175.752,5971.8857,6246.3896,4025.0566,6124.5317,6059.786,4301.4214,4079.8276,3875.0547,4271.9287,3708.2517,4584.2827,4742.5522,4311.8506,3542.391,3918.8655,4224.283,3939.7632,4227.7954,3988.7698,4401.165,5202.397,4297.513,4344.992,4660.6045,5160.405,4916.656,4680.74,4088.405,5257.029,5147.6143
